     18 January	February	2019
      1 demanding	marriage	equality
      1 deliberating	whether	our
      1 DeGeneres	famously	came
      1 definitions	of	marriage
      1 defined	it	such
      1 define	marriage	as
      1 defiance	of	California
      1 deferred	to	state
      1 defended	it	in
      1 defend	traditional	marriage
      1 defeated	for	retention
      1 defeated	Daschle	by
      1 defeated	after	the
      1 defeat	of	a
      1 defeat	gay	marriage
      1 deeply	ambivalent	about
      1 Deep	South	continued
      1 deems	gay	marriage
      1 deemed	homosexual	sex
      1 deem	it	a
      1 decriminalizing	consensual	sex
      1 decreed	gay	marriage
      1 decisive	in	some
      1 decisions	supporting	gay
      1 decisions	made	gay
      1 decisions	barring	the
      1 decisionmaking	and	property
      1 decision	was	quickly
      1 decision	in	some
      1 decision	by	constitutional
      1 December	the	Supreme
      1 December	2018	September
      1 deceased	was	36
      1 decade	or	two
      1 decade	however	the
      1 debated	overturning	the
      1 debate	lawmakers	narrowly
      1 death	penalty	for
      1 Dean	a	strong
      1 dealing	with	gay
      1 deal	with	that
      1 de	Cuevas	more
      1 days	later	Vermont
      1 days	before	the
      1 day	Minnesotans	rejected
      1 Day	a	state
      1 Davide	Bonazzi	The
      1 Daschle	to	explain
      1 Daschle	by	51
      1 Daschle	and	made
      1 Dakota	Republican	John
      1 Dakota	a	state
      1 Customer	Service	Donor
      1 currently	permit	it
      1 Current	Issue	pointer
      1 current	issue	January
      1 Current	Issue	Back
      1 culture	In	1990
      1 culture	and	that
      1 cultural	factors	Perhaps
      1 Cuevas	more	Puzzles
      1 Cryptic	Puzzle	Soccer
      1 Cryptic	Puzzle	Regatta
      1 Cryptic	Puzzle	Gift
      1 Cryptic	Puzzle	Diversifying
      1 Cryptic	Puzzle	Coach
      1 crowd	pleasing	football
      1 Crimson	Football	2018
      1 Crimson	Finishing	with
      1 criminalized	homosexual	sex
      1 crêpes	should	come
      1 creating	a	new
      1 created	thousands	of
      1 coverture	and	immunity
      1 covering	sexual	orientation
      1 coverage	and	an
      1 cover	Many	Americans
      1 courts	in	Maryland
      1 courts	in	California
      1 courts	have	already
      1 Courts	did	not
      1 Courts	Backlash	and
      1 courtroom	unless	she
      1 courtesy	of	the
      1 courtesy	of	Natalie
      1 courtesy	of	Nashoba
      1 courtesy	of	Corey
      1 Court	will	rule
      1 Court	vindicated	their
      1 court	unexpectedly	ruled
      1 Court	This	past
      1 Court	s	part
      1 Court	s	only
      1 court	ruled	that
      1 Court	precedent	forbids
      1 Court	may	deem
      1 Court	justices	would
      1 court	gave	the
      1 Court	deems	gay
      1 court	decisions	made
      1 Court	and	three
      1 Court	agreed	to
      1 couples	who	quickly
      1 couples	were	entitled
      1 couples	to	want
      1 couples	the	legal
      1 couples	The	court
      1 couples	or	of
      1 couples	in	Hawaii
      1 couples	in	defiance
      1 couples	from	marriage
      1 couples	filed	lawsuits
      1 couples	began	to
      1 couples	began	marrying
      1 counsel	restraint	on
      1 Corey	Templeton	Photography
      1 Copyright	Infringement	facebook
      1 convert	dominant	national
      1 controversy	erupted	the
      1 controlling	the	state
      1 contravenes	God	s
      1 contrary	outcome	would
      1 continued	to	massively
      1 continued	to	grow
      1 continue	to	provide
      1 continue	to	influence
      1 continue	for	several
      1 contests	In	Kentucky
      1 contest	the	incumbent
      1 contest	and	as
      1 content	and	remain
      1 Content	1996	2019
      1 contemplate	legal	issues
      1 Contact	About	Customer
      1 Construction	Cameras	Arts
      1 constitutionality	of	the
      1 constitutionality	of	laws
      1 constitutional	right	this
      1 constitutional	right	in
      1 constitutional	right	Bush
      1 constitutional	provisions	to
      1 constitutional	mandates	to
      1 constitutional	issues	such
      1 constitutional	interpretation	and
      1 constitutional	amendments	barring
      1 constitutional	amendment	but
      1 Constitution	whose	meaning
      1 constituencies	such	as
      1 consistently	show	a
      1 considered	the	idea
      1 considered	hopeless	but
      1 conservatives	who	condemn
      1 conservatives	to	turn
      1 conservatives	to	come
      1 conservatives	mobilized	to
      1 conservatives	have	begun
      1 conservative	justices	who
      1 conservative	base	and
      1 consensual	sex	between
      1 Connecticut	ruled	in
      1 congressional	leaders	forced
      1 congressional	Democrats	opposed
      1 Congress	passed	the
      1 Congress	has	deferred
      1 conducted	a	marriage
      1 condemn	gay	marriage
      1 concept	in	1998
      1 conceding	You	can
      1 compelling	justification	for
      1 compared	to	just
      1 companies	offering	healthcare
      1 community	Why	Support
      1 comedies	such	as
      1 come	with	lingonberry
      1 come	to	the
      1 come	to	overwhelmingly
      1 come	out	of
      1 combine	with	liberal
      1 com	ns	html
      1 com	College	Admits
      1 Columbia	currently	permit
      1 Colorado	warned	There
      1 College	Admits	13
      1 College	admissions	challenges
      1 cold	climate	white
      1 code	for	the
      1 coasts	Just	days
      1 coast	to	coast
      1 coast	rejection	of
      1 Coach	12	14
      1 co	workers	of
      1 co	sponsored	the
      1 Club	6	14
      1 Closet	to	the
      1 closet	And	support
      1 close	vacation	rentals
      1 close	To	access
      1 close	Show	your
      1 close	Read	the
      1 close	News	more
      1 close	From	the
      1 Clinton	eager	to
      1 climate	white	wines
      1 clear	that	something
      1 clear	Of	late
      1 Classifieds	pointer	close
      1 Classifieds	Donate	Search
      1 Class	Notes	pointer
      1 Class	Notes	or
      1 Class	Notes	Classifieds
      1 class	note	or
      1 class	citizenship	Massachusetts
      1 class	Catholics	and
      1 claim	in	Goodridge
      1 claim	by	asking
      1 civilization	The	issue
      1 civil	unions	versus
      1 civil	unions	that
      1 civil	unions	One
      1 civil	unions	most
      1 civil	unions	law
      1 civil	unions	faced
      1 civil	unions	An
      1 Civil	Liberties	Union
      1 citizenship	Massachusetts	thus
      1 churchgoers	the	group
      1 Christie	vetoed	the
      1 Christians	to	start
      1 Christian	challenged	Senate
      1 Chris	Christie	vetoed
      1 chose	to	come
      1 child	to	watch
      1 characters	so	such
      1 characters	By	mid
      1 character	and	a
      1 changing	social	mores
      1 changes	were	also
      1 changes	The	number
      1 changes	also	tended
      1 change	the	most
      1 change	The	gay
      1 change	in	America
      1 chance	of	passing
      1 Champi	70	is
      1 challenging	the	constitutionality
      1 challenges	January	February
      1 challenged	the	constitutionality
      1 challenged	Senate	minority
      1 challenge	which	is
      1 centuries	of	American
      1 centerpiece	of	his
      1 center	coasts	Just
      1 center	a	toehold
      1 cease	fighting	it
      1 causing	opponents	to
      1 cause	of	marriage
      1 caucuses	antigay	activists
      1 Catholics	and	African
      1 cases	challenging	the
      1 case	was	remanded
      1 carried	off	the
      1 care	about	preserving
      1 Capital	In	Liz
      1 cannot	have	the
      1 candidates	for	the
      1 candidates	denounced	the
      1 candidates	denounced	gay
      1 candidate	Bob	Vander
      1 can	t	fight
      1 can	do	it
      1 can	continue	to
      1 campaign	Thune	pressed
      1 campaign	State	party
      1 campaign	finance	reform
      1 campaign	and	reminded
      1 Cameras	Arts	Arrive
      1 Came	to	Be
      1 came	to	be
      1 came	out	in
      1 came	in	second
      1 came	from	the
      1 called	the	Vermont
      1 called	Kelby	Russell
      1 called	his	opponent
      1 called	for	passage
      1 called	for	a
      1 called	civil	unions
      1 California	s	Proposition
      1 California	law	Bush
      1 California	had	grown
      1 California	decision	was
      1 California	and	Connecticut
      1 ca	1750	1765
      1 by	year	s
      1 by	Vermont	filed
      1 by	two	to
      1 by	three	to
      1 by	the	Stonewall
      1 by	the	political
      1 by	the	Massachusetts
      1 by	the	issue
      1 by	the	fact
      1 by	statistician	Nate
      1 by	sociological	demographic
      1 by	Robyn	Wishna
      1 by	River	North
      1 by	Proposition	8
      1 by	overwhelming	margins
      1 by	Natalie	Larson
      1 By	mid	decade
      1 by	Michael	J
      1 by	Mark	Steele
      1 by	margins	of
      1 by	lopsided	margins
      1 by	John	de
      1 by	Harvard	Magazine
      1 by	gay	marriage
      1 by	Gary	Mottola
      1 by	Evelena	Ruether
      1 by	Ericodeg	Flickr
      1 by	Davide	Bonazzi
      1 by	constitutional	amendment
      1 by	Astrid	Stawiarz
      1 by	asking	even
      1 by	about	1
      1 by	a	margin
      1 by	73	percent
      1 by	52	8
      1 by	29	percentage
      1 by	24	percentage
      1 By	2024	he
      1 by	2008	that
      1 By	2001	35
      1 but	Vander	Plaats
      1 But	the	California
      1 But	that	fall
      1 but	seriously	debated
      1 but	popular	support
      1 but	its	backers
      1 but	in	1993
      1 But	even	in
      1 but	Democrats	controlling
      1 Bush	s	share
      1 Bush	s	margin
      1 Bush	regularly	called
      1 Bush	it	may
      1 Bush	immediately	denounced
      1 Bush	endorsed	such
      1 burst	of	gay
      1 Bunning	squeaked	through
      1 Bunning	a	Republican
      1 Built	the	Pyramids
      1 Bruce	Larson	Photograph
      1 Brown	v	Board
      1 Brown	and	school
      1 broader	discussion	and
      1 briefly	but	seriously
      1 Boston	January	February
      1 Boston	11	21
      1 border	in	North
      1 boon	to	Republicans
      1 boomers	who	were
      1 Bonazzi	The	Watchers
      1 bolstered	by	sociological
      1 boiling	for	the
      1 Bob	Vander	Plaats
      1 Board	of	Education
      1 blood	boiling	for
      1 block	implementation	of
      1 blatantly	homophobic	terms
      1 bitter	defeat	gay
      1 bills	were	defeated
      1 bills	though	Governor
      1 bills	Mainers	approved
      1 bills	in	most
      1 Bill	Clinton	eager
      1 bill	by	lopsided
      1 big	questions	about
      1 Beyond	Lobsters	and
      1 between	the	oldest
      1 Between	the	late
      1 between	same	sex
      1 Best	snow	tubing
      1 Best	in	Winter
      1 Bess	Wohl	writes
      1 Bess	Wohl	Photograph
      1 benefits	to	the
      1 Benefits	of	Failure
      1 benefits	for	same
      1 benefits	Congress	passed
      1 believe	that	gay
      1 begun	to	acknowledge
      1 begun	marrying	same
      1 begin	to	pursue
      1 began	to	think
      1 began	marrying	In
      1 began	attacking	gay
      1 began	asking	him
      1 before	the	Republican
      1 been	growing	two
      1 been	defeated	for
      1 been	ambivalent	People
      1 Bedding	Down	in
      1 bed	furnishings	by
      1 bed	ca	1750
      1 becoming	parents	sought
      1 becoming	only	the
      1 become	normalized	legalized
      1 because	their	prospects
      1 became	the	public
      1 became	more	gay
      1 Beats	Yale	The
      1 beat	Yale	11
      1 be	surprising	In
      1 be	rooted	in
      1 be	regarded	as
      1 be	permitted	into
      1 Be	On	activism
      1 be	inevitable	does
      1 be	for	a
      1 be	destroying	the
      1 be	called	civil
      1 Bauer	called	the
      1 based	family	A
      1 base	and	put
      1 bars	Only	a
      1 barring	the	death
      1 barring	same	sex
      1 barring	gay	marriage
      1 barring	discrimination	based
      1 Barack	Obama	has
      1 bar	gay	marriage
      1 Baptist	Theological	Seminary
      1 banning	gay	marriage
      1 ban	passed	by
      1 ban	it	and
      1 ballot	measure	barring
      1 ballot	in	13
      1 balances	two	seemingly
      1 backlash	the	state
      1 backlash	it	sparked
      1 Backlash	In	1991
      1 Backlash	and	the
      1 backlash	against	court
      1 Backing	for	laws
      1 backing	for	gay
      1 backers	remained	just
      1 backed	same	sex
      1 Back	Vermont	Governor
      1 Back	Issues	Harvard
      1 Back	Issues	Class
      1 bachelor	who	opposed
      1 baby	boomers	who
      1 autonomy	may	combine
      1 authority	You	Might
      1 authority	ADTECH	loc
      1 authorities	are	presuming
      1 author	of	the
      1 August	2018	more
      1 attuned	to	his
      1 attributed	his	victory
      1 attitudes	toward	gay
      1 attention	to	removing
      1 attainable	Finally	the
      1 attacking	gay	marriage
      1 attack	from	extremist
      1 Atheneum	Museum	of
      1 Atheneum	and	Museum
      1 at	which	the
      1 at	which	presidential
      1 At	the	same
      1 At	that	time
      1 at	oral	argument
      1 at	Nashoba	Valley
      1 at	least	partly
      1 at	IHOP	None
      1 at	IHOP	deliberating
      1 at	grade	opening
      1 Astrid	Stawiarz	Getty
      1 Assuming	the	justices
      1 Assaults	on	privacy
      1 asking	him	if
      1 asking	even	a
      1 Asian	American	admits
      1 as	working	class
      1 as	well	The
      1 as	well	despite
      1 As	usual	Justice
      1 as	three	dozen
      1 as	they	do
      1 as	the	Yale
      1 as	the	union
      1 as	the	Brown
      1 As	support	for
      1 As	society	became
      1 as	second	class
      1 as	same	sex
      1 as	relevant	to
      1 as	oppressive	given
      1 as	much	as
      1 as	most	swing
      1 as	many	as
      1 as	late	as
      1 as	if	they
      1 as	high	as
      1 as	Friends	and
      1 as	coverture	and
      1 as	abortion	affirmative
      1 as	86	percent
      1 as	70	percent
      1 as	1990	roughly
      1 Arts	more	Arts
      1 Arts	Lapis	lazuli
      1 Arts	Arrive	in
      1 Artistic	Capital	In
      1 Artificial	Intelligence	and
      1 Articles	pointer	close
      1 art	making	January
      1 Art	Bedding	Down
      1 Arrive	in	Allston
      1 around	Greater	Boston
      1 arguments	very	seriously
      1 argument	Marriage	equality
      1 arena	in	1996
      1 Area	Sliding	Down
      1 Area	Photograph	courtesy
      1 are	presuming	to
      1 are	not	likely
      1 are	not	indifferent
      1 are	more	likely
      1 are	likely	to
      1 are	going	to
      1 are	far	more
      1 are	diminishing	Moreover
      1 Archives	pointer	close
      1 archives	Illustration	by
      1 Archives	1968	When
      1 aptly	described	a
      1 April	2013	share_Print
      1 Approximately	70	percent
      1 approved	same	sex
      1 approved	a	gay
      1 approved	a	civil
      1 applied	sciences	center
      1 Applicants	More	women
      1 appearing	gay	character
      1 appeared	especially	significant
      1 anything	like	civil
      1 any	gays	Support
      1 antigay	activists	conducted
      1 antidiscrimination	laws	covering
      1 Anthony	Kennedy	is
      1 another	s	same
      1 annually	A	study
      1 anniversary	of	That
      1 and	youngest	survey
      1 and	woman	No
      1 and	woman	In
      1 and	win	many
      1 and	Washington	possibly
      1 and	warned	that
      1 and	verify	your
      1 and	Time	put
      1 and	three	legislatures
      1 and	They	ll
      1 and	they	can
      1 and	Then	Gone
      1 and	their	membership
      1 and	the	Struggle
      1 and	the	most
      1 and	the	mentally
      1 and	the	late
      1 and	the	justices
      1 and	the	Importance
      1 and	the	District
      1 and	that	the
      1 and	that	it
      1 and	Take	Back
      1 and	Supreme	Court
      1 And	support	for
      1 and	staff	preferences
      1 and	social	change
      1 and	snowy	moment
      1 and	services	Products
      1 and	security	in
      1 and	school	desegregation
      1 and	reporters	began
      1 and	reminded	voters
      1 and	remain	an
      1 and	recognized	in
      1 and	put	it
      1 and	property	inheritance
      1 and	President	Bill
      1 and	preferences	Litigation
      1 and	other	headlines
      1 and	other	Harvard
      1 and	opponents	generally
      1 and	only	the
      1 and	only	10
      1 and	one	recent
      1 and	not	on
      1 and	New	Hampshire
      1 and	Museum	exhibit
      1 and	millennia	of
      1 and	Maryland	ratified
      1 and	marriage	equality
      1 and	many	Republican
      1 and	Maine	quickly
      1 and	made	opposition
      1 and	Mad	About
      1 and	local	authorities
      1 and	Lighthouses	Enjoying
      1 and	lesbians	to
      1 and	lesbians	chose
      1 and	lesbians	at
      1 and	lesbian	partnerships
      1 and	lesbian	baby
      1 and	it	came
      1 and	inspire	religious
      1 And	in	Iowa
      1 and	in	a
      1 and	in	1997
      1 and	immunity	from
      1 and	his	allies
      1 and	have	grown
      1 and	even	the
      1 and	even	gay
      1 and	Ethics	2
      1 and	employment	and
      1 and	electing	the
      1 and	cultural	factors
      1 and	Connecticut	ruled
      1 and	co	workers
      1 and	campaign	finance
      1 and	California	s
      1 and	Bruce	Larson
      1 and	benefits	of
      1 and	Backlash	In
      1 and	as	many
      1 and	an	update
      1 and	African	Americans
      1 and	action	an
      1 and	a	switch
      1 and	a	steady
      1 and	a	majority
      1 and	2000s	public
      1 Analysts	attributed	his
      1 an	update	on
      1 an	issue	subject
      1 an	intense	struggle
      1 an	institution	about
      1 an	initial	prerequisite
      1 an	extraordinary	gap
      1 an	executive	order
      1 an	evangelical	Christian
      1 an	environment	that
      1 An	entire	generation
      1 An	enormous	political
      1 an	enormous	leap
      1 an	enormous	election
      1 an	editorially	independent
      1 an	amendment	explaining
      1 an	Ad	Special
      1 an	actor	s
      1 among	those	aged
      1 Among	frequent	churchgoers
      1 amid	a	burst
      1 Americans	would	have
      1 Americans	who	reported
      1 Americans	tended	to
      1 Americans	reported	that
      1 Americans	opposed	gay
      1 Americans	feel	as
      1 Americans	favor	repeal
      1 Americans	endorsing	such
      1 Americans	deemed	homosexual
      1 Americans	at	the
      1 American	voters	endorsed
      1 American	state	had
      1 American	state	and
      1 American	jurisprudence	and
      1 American	constitutional	interpretation
      1 American	Civil	Liberties
      1 American	admits	12
      1 America	threaten	democracy
      1 America	January	February
      1 America	by	Michael
      1 America	Archives	pointer
      1 America	A	Wadsworth
      1 amendments	forbade	civil
      1 amendments	barring	same
      1 amendment	while	supporting
      1 amendment	to	forbid
      1 amendment	to	define
      1 amendment	to	bar
      1 amendment	to	ban
      1 amendment	passed	by
      1 amendment	mobilized	enough
      1 amendment	limp	wristed
      1 amendment	In	the
      1 amendment	explaining	that
      1 amendment	even	though
      1 amendment	during	the
      1 amendment	but	popular
      1 amendment	and	warned
      1 amending	the	marriage
      1 ambivalent	People	often
      1 ambivalent	about	marriage
      1 alumni	status	Don
      1 Alumni	more	Alumni
      1 Alumni	After	the
      1 Although	most	congressional
      1 Although	conceding	You
      1 Altar	Courts	Backlash
      1 also	tended	to
      1 also	rejected	gay
      1 also	placed	referenda
      1 also	led	more
      1 also	entered	the
      1 also	afoot	in
      1 also	affected	individuals
      1 already	done	so
      1 Alongside	a	huge
      1 Allston	Alongside	a
      1 allowing	gays	and
      1 allies	made	the
      1 Allard	of	Colorado
      1 All	the	measures
      1 All	right	reserved
      1 all	of	the
      1 all	five	candidates
      1 All	Content	1996
      1 All	10	candidates
      1 Alaska	that	year
      1 AIDS	two	thirds
      1 AIDS	epidemic	had
      1 agreed	to	review
      1 ago	every	state
      1 agenda	which	was
      1 aged	18	to
      1 age	of	the
      1 against	same	sex
      1 against	gay	marriage
      1 against	court	rulings
      1 After	weeks	of
      1 after	this	bitter
      1 after	the	Massachusetts
      1 After	the	harvest
      1 after	the	election
      1 after	more	than
      1 after	Mayor	Gavin
      1 African	Americans	tended
      1 afoot	in	the
      1 Affirmative	action	donor
      1 affirmative	action	and
      1 affected	individuals	actions
      1 Advice	Pricing	Sizes
      1 Advertise	My	Account
      1 advanced	the	cause
      1 adoptions	and	only
      1 Admits	13	4
      1 admits	12	13
      1 admissions	challenges	January
      1 address	the	substantive
      1 additional	states	The
      1 addition	the	many
      1 Ad	Special	Sections
      1 actually	gained	seats
      1 actor	s	perspective
      1 activists	to	file
      1 activists	Rather	they
      1 activists	in	Vermont
      1 Activists	in	Massachusetts
      1 activists	conducted	a
      1 activists	begin	to
      1 activism	unleashed	by
      1 activism	litigation	and
      1 actions	and	preferences
      1 action	donor	and
      1 Action	Applicants	More
      1 action	and	campaign
      1 action	an	initial
      1 Act	DOMA	which
      1 Act	and	California
      1 Across	the	border
      1 acknowledge	the	inevitability
      1 accurate	bed	furnishings
      1 account	Register	Here
      1 Account	FAQ	Harvard
      1 account	and	verify
      1 accommodations	rose	from
      1 accommodations	and	employment
      1 access	Class	Notes
      1 acceptance	of	homosexuality
      1 accept	it	voluntarily
      1 About	You	were
      1 about	which	they
      1 about	the	meaning
      1 about	the	Harvard
      1 about	preserving	traditional
      1 about	marriage	Lesbian
      1 about	marriage	equality
      1 about	how	we
      1 About	Customer	Service
      1 about	5	percentage
      1 about	2	percent
      1 about	1	percentage
      1 abortion	affirmative	action
      1 a	year	since
      1 A	Wadsworth	Atheneum
      1 a	vote	on
      1 a	vineyard	overlooking
      1 A	trial	judge
      1 a	trial	judge
      1 a	trial	at
      1 a	toehold	for
      1 a	switch	hitter
      1 a	substantial	majority
      1 A	study	by
      1 a	strong	proponent
      1 a	steady	increase
      1 a	state	in
      1 a	state	constitutional
      1 a	state	ballot
      1 a	special	one
      1 a	single	question
      1 a	single	jurisdiction
      1 a	single	Iowa
      1 A	similar	vote
      1 a	shuttle	into
      1 a	show	with
      1 A	serene	and
      1 a	Senate	party
      1 a	second	term
      1 a	second	related
      1 a	resounding	coast
      1 A	resilient	crowd
      1 a	Republican	began
      1 a	relatively	gay
      1 a	regularly	appearing
      1 a	radical	concept
      1 a	proposed	state
      1 a	proposed	constitutional
      1 a	priority	of
      1 a	particular	social
      1 a	new	institution
      1 a	New	England
      1 a	nearly	identical
      1 A	miniature	version
      1 a	mild	local
      1 a	measure	quickly
      1 a	master	plan
      1 a	marriage	protection
      1 a	margin	of
      1 a	majority	Six
      1 a	majority	in
      1 a	living	Constitution
      1 a	large	turnout
      1 a	justice	to
      1 a	huge	applied
      1 A	Harvard	Magazine
      1 a	Harvard	Magazine
      1 a	handful	of
      1 a	gay	marriage
      1 a	fourth	they
      1 a	Flourish	A
      1 a	few	weeks
      1 A	few	months
      1 a	few	judges
      1 a	federal	constitutional
      1 a	dress	Minnesota
      1 a	dream	issue
      1 a	decade	or
      1 a	contrary	outcome
      1 a	compelling	justification
      1 a	class	note
      1 a	civil	unions
      1 a	centerpiece	of
      1 a	burst	of
      1 a	44	year
      1 a	2004	study
      1 9	19	Photograph
      1 9	19	A
      1 86	percent	to
      1 81	percent	in
      1 8	which	passed
      1 8	percent	to
      1 8	is	harder
      1 8	Assuming	the
      1 8	17	16
      1 75	percent	of
      1 75	percent	in
      1 74	percent	in
      1 73	percent	to
      1 70	percent	President
      1 70	percent	of
      1 70	is	carried
      1 7	percent	of
      1 69	percent	to
      1 68	percent	of
      1 65	percent	of
      1 6	for	the
      1 6	14	16
      1 52	8	percent
      1 500	companies	offering
      1 50	years	not
      1 50	years	Across
      1 50	7	percent
      1 50	000	people
      1 5	The	Fringe
      1 5	percentage	points
      1 49	percent	the
      1 48	percent	in
      1 47	2	percent
      1 45	Yale	27
      1 44	year	old
      1 44	percentage	points
      1 40	percent	of
      1 4	Who	Built
      1 4	Percent	of
      1 4	18	16
      1 36	An	entire
      1 35	states	had
      1 35	percent	of
      1 35	percent	In
      1 34	percent	Predicting
      1 337855236975329	ev	PageView
      1 31	percent	A
      1 30	or	35
      1 3	What	s
      1 29	support	is
      1 29	percentage	points
      1 29	percent	supported
      1 27	percent	In
      1 27	On	the
      1 263	in	2006
      1 25	percent	in
      1 24	percentage	points
      1 23	percent	in
      1 21	18	Alumni
      1 20Sciences	Research	You
      1 20Sciences	Research	Republicans
      1 2024	he	projects
      1 2019	What	Legacy
      1 2019	Students	more
      1 2019	Sports	more
      1 2019	Quarterback	Frank
      1 2019	Opinion	more
      1 2019	Liz	Glynn
      1 2019	Illustration	by
      1 2019	Harvard	Squared
      1 2019	Harvard	Magazine
      1 2019	Bess	Wohl
      1 2019	Arts	more
      1 2019	A	serene
      1 2019	A	miniature
      1 2018	September	October
      1 2018	more	Back
      1 2018	July	August
      1 2018	Harvard	45
      1 2017	November	December
      1 2013	The	Pre
      1 2013	share_Print	png
      1 2013	a	majority
      1 2012	legislatures	in
      1 2011	the	president
      1 2011	the	New
      1 2010	Republican	gubernatorial
      1 2009	the	Iowa
      1 2009	outcome	That
      1 2008	Those	states
      1 2008	that	gap
      1 2008	Dramatic	changes
      1 2008	But	the
      1 2006	The	number
      1 2006	07	high
      1 2004	the	year
      1 2004	Support	for
      1 2004	study	found
      1 2004	Shifts	in
      1 2004	presidential	election
      1 2004	political	contests
      1 2004	hoping	to
      1 2004	Backing	for
      1 2004	after	Mayor
      1 2003	the	Supreme
      1 2001	demanding	marriage
      1 2001	35	states
      1 2000s	public	backing
      1 2000	was	17
      1 2000	session	was
      1 2000	Knowing	gay
      1 2000	denounced	civil
      1 2000	but	its
      1 20	percent	to
      1 20	percent	backed
      1 20	in	2008
      1 2	percent	while
      1 2	percent	That
      1 2	Can	MOOCs
      1 2	17	16
      1 1999	that	state
      1 1998	Hawaiian	voters
      1 1997	Ellen	DeGeneres
      1 1996	some	sponsors
      1 1996	law	Indeed
      1 1996	Just	days
      1 1996	introduced	bills
      1 1996	a	trial
      1 1996	2019	Harvard
      1 1993	to	15
      1 1993	the	state
      1 1992	to	81
      1 1991	three	gay
      1 1990s	support	grew
      1 1990s	gay	marriage
      1 1990s	and	2000s
      1 1990	to	263
      1 1990	roughly	75
      1 1990	only	one
      1 1989	to	56
      1 1988	to	75
      1 1988	to	20
      1 1985	to	74
      1 1980s	did	activists
      1 1980s	and	the
      1 1970s	amid	a
      1 1968	When	Harvard
      1 19	Statue	of
      1 19	Photograph	from
      1 19	Lapis	lazuli
      1 19	Illustration	by
      1 19	Are	data
      1 19	A	formal
      1 1898	Harvard	Magazine
      1 1898	ADTECH	loc
      1 18	to	29
      1 18	Research	more
      1 18	Puzzles	A
      1 18	Harvardiana	more
      1 18	Alumni	more
      1 18	16	Cryptic
      1 1765	with	historically
      1 1750	1765	with
      1 17	percentage	points
      1 17	Cryptic	Puzzle
      1 16	18	Harvardiana
      1 15	puzzles	Harvard
      1 15	in	2008
      1 15	18	Puzzles
      1 14	percent	in
      1 14	19	Are
      1 14	16	Cryptic
      1 14	15	puzzles
      1 13	states	in
      1 13	4	Percent
      1 13	18	Research
      1 12	percentage	points
      1 12	17	Cryptic
      1 12	14	15
      1 12	13	18
      1 11	21	18
      1 11	16	18
      1 11	15	18
      1 10	percent	to
      1 10	or	20
      1 10	more	states
      1 10	candidates	for
      1 10	19	Statue
      1 10	19	Lapis
      1 10	19	Illustration
      1 1	IFRAME	https
      1 1	Artificial	Intelligence
      1 1	14	19
      1 1	12	17
      1 07	high	courts
      1 000	people	had
      1 ______________________________________________________________	FAQ	Tips
