     13 中文	台灣
      1 信心希望聯盟所提	保護家庭
      1 信心希望聯盟	宗華教信聯盟
      1 保障同性伴侶權益方式之民意調查	PDF
      1 保護家庭	公投提案
      1 保護	屬立法形成之範圍
      1 保加利亚	克罗地亚
      1 俄羅斯	塞尔维亚
      1 俄羅斯	中華民國
      1 俄勒冈	宾夕法尼亚
      1 俄亥俄	俄勒冈
      1 係以其個人見解對現行婚姻制度有所指摘	並未具體指明上開裁判所適用之法律或命令
      1 侶盟秘書長簡志潔指出	婚姻平權
      1 依本解釋意旨完成相關法律之修正或制定	至於以何種形式達成婚姻自由之平等
      1 例如結婚權或同居伴侶法	同志生育
      1 例如真愛聯盟主張一個家庭必需	一夫一妻
      1 使晚間受天候影響	風雨之中人潮亦不曾散去
      1 使同性婚姻成為可能的此一作法	始見於2012年12月18日
      1 使同性伴侶長年來無法簽	署手術同意書的問題獲得解套
      1 使其符合格式	参考文献应符合正确的引用
      1 你請看	聖經
      1 你是否同意	民法婚姻規定應限定在一男一女的結合
      1 佛蒙特	華盛頓
      1 佛罗里达	伊利諾
      1 佛教弘誓學院	威明堂
      1 佛化同志婚禮紀事	弘誓雙月刊
      1 佛光大學生命學研究中心	古亭基督長老教會
      1 何春蕤	洪凌
      1 何來所謂開放	11
      1 但隨後被反方指證為子虛烏有	105
      1 但請不要把不堪入耳的影片放在課程	ＣＥＦ中間選民論壇第一波聯名
      1 但此議題牽涉到社會基礎的婚姻	家庭制度
      1 但此註記並不具	民法
      1 但此措施尚不具完全的法律效力	同年衛
      1 但於2011年8月向台北市中山區戶政事務所辦理結婚登記時遭到拒絕	2011年10月21日
      1 但效力僅於開放註記的各縣市	因縣市註記並無相關法律或法令依據
      1 但支	持同婚的民法派認為如此形同隔離政策
      1 但多數法律人士與同運團體認為專法是種變相歧視而要求回到民法上做修改	法務部也在隨後2016年11月28日的公聽會上公開表示會以
      1 但多半傾向暫緩修法	116
      1 但在秘書長張守一爆發通姦私生風波之後	號召力已大不如前
      1 但國民黨及親民黨未派員出席	與會的法務部代表亦消極應對
      1 但例外不能變正常	ETToday東森新聞雲
      1 但他卻無法提出相關調查數據	證實法務部的立場具有多數民意基礎目前社會仍存有許多歧見與爭議
      1 但享	有的權利與配偶不同
      1 但	婚姻議題未在媒體上多見琢磨
      1 伴侶盟與所有支持	婚姻平權
      1 伴侶盟與三十多個關心婚姻平權的民間團體	共推
      1 伴侶盟發動	多元成家
      1 伴侶盟理事長理事長許秀雯指出	持反對意見的團體曲解草案內容
      1 伴侶盟版三法案開始受到反對人士批評	台灣宗教團體愛護家庭大聯盟發言人
      1 伴侶盟推	婚姻平權立委連線
      1 伴侶盟律師團	受祁家威委任
      1 伴侶盟常務監事徐蓓婕說	排字活動是呼籲立法院正視人民需求
      1 伴侶盟力拚婚姻平權	風傳媒
      1 伴侶盟也宣告將走司法途徑	雙管齊下
      1 伴侶盟	將費時兩年起草的
      1 伴侶盟	多元成家草案
      1 伴侶盟	同光同志長老教會
      1 伴侶的後面加註	不分性別
      1 伴侶多元	為主題
      1 伴侶制度草案	給予不限性別的兩人締結不以愛情和性關係為基礎的家庭關係的權利
      1 伴侶制度草案	及
      1 伴	侶盟秘書長簡志潔指出
      1 伊利諾	印第安纳
      1 以雷射秀向總統府打出訴求	蘋果日報
      1 以配偶及血親繼承人為法定繼承人	若承認同性婚姻
      1 以色列	英语
      1 以色列	日本
      1 以色列	8
      1 以致審查並無進度	47
      1 以民法部分條為更改方式	使同性婚姻成為可能的此一作法
      1 以民法婚姻規定以外之其他形式來保障同性別二人經營永久共同生活的權益	7
      1 以当地时间计算	如果发现倒数时间不准确
      1 以因應時代演進及性別平等觀念	並且也談
      1 以及象徵同性戀結合的性別符號與六色彩虹	傳達
      1 以及老年同志的關懷照顧等	希望讓每個同志都能擁有組織家庭的自由選擇權利
      1 以及眾多政壇及媒體圈高層都到場表	達祝福
      1 以及其他婚姻相關修正條文	並通過立委柯建銘的提案與其最終的文字修正
      1 以及保障多元家庭	的理想
      1 以及	需要修正的法律甚多
      1 以及	愛滋年輕化小心男男性行為
      1 以勒禱告祭壇	媒體
      1 以其傳統文化中的	義結金蘭
      1 以保障同性婚姻的权利	成為亞洲首例
      1 以10票比1票認定不符合	公民投票法
      1 代表人物	高俊明
      1 代表人物	尤美女
      1 代表	社會上爭議很大
      1 他希望國民黨對此議題一定要包容	尊重
      1 他們彼此住在同一個屋簷下	一起生活
      1 他們宣稱已申請集會遊行	不應讓不同意見進場
      1 他們在2005年訂婚	2006年經公開儀式舉行結婚典禮
      1 他一定會竭盡全力阻擋這不成熟的法案通過	115
      1 他	並呼籲民眾一人一信寫給立委
      1 仍不減群眾熱情	男同志Luke直呼
      1 人民決定	105
      1 人權運動	原住民族運動
      1 人權保障基本法草案	報院
      1 人權保障基本法草案	18
      1 人權保障基本法	草案第二十四條提出
      1 人權保障基本法	草案出爐
      1 人本教育基金會	宗教團體
      1 人數約十萬人	對立法院內司法委員會正在審議的民法修改案表達不滿
      1 人或連署人	時代力量
      1 亦舉辦活動反對	同性婚姻合法化
      1 亦編部分條文修正草案	2
      1 亦從中可看婚姻平權議題廣受年輕選民的支持	出即
      1 亦將併案協商	正式通過一讀送出委員會
      1 亦可跨縣市辦理登記	因尚有雲林縣
      1 亦不得牴觸具有相當於憲法位階效力之司法	院解釋
      1 亦不得牴觸具有相當於憲法位階	效力之司法院解釋
      1 亦不得牴觸具有相當憲法位階效力之司法院解釋	7
      1 交叉分析結果年齡愈小	學歷愈高
      1 交付大會進行	二讀朝野協商
      1 交付公投	表達支持和反對
      1 亞美尼亞	英语
      1 亞洲同性結合	英语
      1 亞洲	柬埔寨
      1 亞克羅提利與德凱利亞	英屬印度
      1 亚利桑那	加州
      1 互联网档案馆的存檔	存档日期2015
      1 互助客栈	知识问答
      1 互助包容	書中提出以現代人權為基礎的婚姻價值
      1 二讀朝野協商	84
      1 事實	106
      1 事件	葉永鋕事件
      1 事件	慰安婦問題
      1 事件	官秀琴落海事件
      1 事件	1958年
      1 也首先	用公務預算支持同志活動
      1 也都希望能享有平等生活	103
      1 也衝擊現有婚姻制度	現行
      1 也期待盡快修法	現場並投射
      1 也是文化問題	在當前社會也是世代問
      1 也是宗教人士組織而成的團體	前總統李登輝被記者問及對此的態度是表示
      1 也不符合	公民投票法
      1 之後民進黨尤	美女
      1 之後每增加十歲的級別	支持度降低約十個百分點
      1 之後再予審查	5
      1 之修正或制定	以保障同性婚姻的权利
      1 主辦方則是發表聲明表示遺憾	109
      1 主辦單位宣稱台北場有十萬人到場	全台共計十七萬人次
      1 主辦單位以雷射投影	在總統府上投出歷年因同志身分自殺或受暴致死的同性戀者姓名
      1 主辦單位之一的伴侶盟並宣佈將於12月10日國際人權日在凱道將舉辦大型聚會	邀集
      1 主辦	26日立院再見
      1 主条目	多元成家立法草案
      1 主張限制同性婚姻違憲	40
      1 主張專法	邱太三
      1 主席尤美女宣布會議結束	未來則視情
      1 主席	尤美女委員最後敲定加開兩場公聽會後擇期再審
      1 丹麦王国邦联的另外两个成员国格陵兰和法罗群岛也先后通过了各自的同性婚姻法案	3
      1 丹麥	爱沙尼亚
      1 丹麥	2
      1 中評社	2014
      1 中華民國法務部擬定	人權保障基本法
      1 中華民國國旗	世界同性結合现状
      1 中華民國內政部經過專案會議討論	決定承認一起跨性別同性婚姻有效
      1 中華民國	2019年5月24日
      1 中華人民共和國	以色列
      1 中華世界大同幸福勞動聯盟	信心希望聯盟
      1 中立	编辑
      1 中立	5
      1 中的日期值	帮助
      1 中央通訊社	2017
      1 中央通訊社	2016
      1 中央社	2015
      1 中央社	2014
      1 中央研究院社會學研究所	台灣社會變遷基本調查計畫第七期第一次調查計畫執行報告
      1 中央大學性	別研究室
      1 中天	三立等頻道連續四天播放
      1 中國時報民調中心	122
      1 中國時報四份台灣主要報紙買下半版廣告	宣傳
      1 中國時報	2017
      1 中國時報	2015
      1 中國國民黨亦有部分立委支持	現任總統
      1 中原大學財經法律學系碩士學位論文	互联网档案馆的存檔
      1 个人工具	没有登录
      1 並進而支持同志	參與人數破萬人
      1 並通過立委柯建銘的提案與其最終的文字修正	105年12月26
      1 並製作各種曲解法案的不實文宣散佈在網路上	91
      1 並爆發了零星的肢體暴力衝突	多名同婚人士被打傷並驗傷報警
      1 並沒有要求比兩性婚姻任一方更多的權利	支持的團體有婦女新知基金會
      1 並未具體指明上開裁判所適用之法律或命令	究有何牴觸憲法之處
      1 並於2012年7月推出多元成家立法草案包括	婚姻平權
      1 並於12月26日司法及法制委員會初審通過	全案須送朝野協商
      1 並提出同性婚姻法制化的請願	遭政府機構拒絕
      1 並指出其中	錯誤
      1 並批判現存婚姻制度對弱勢的壓迫	30
      1 並就現行	民法
      1 並尊重立法院的決議	56
      1 並完成一讀送入司法委員會	法務部公開反對
      1 並在登記的兩人之間發生法律上配偶的效力	宣布現行民法沒有保障同志婚姻違憲
      1 並在8月2日宣佈判決	主張限制同性婚姻違憲
      1 並呼籲民眾一人一信寫給立委	用選票來做選擇
      1 並呼籲12	3
      1 並交付司法及法制委員會審查	另外兩套伴侶制
      1 並且也談	到了同志婚姻與婚禮
      1 世界同性結合现状	英语
      1 世界各地同性結合狀態	Gay
      1 世新大學知識經濟發展研究院台灣民主自由人權調查	126
      1 与欧洲部分施行同样的法律	因此同性婚姻合法
      1 不過蔡英文在競選期間並無特別強調此議題	政綱亦未主要提及會立法推動同性婚姻
      1 不過法務部對於同性婚姻法案持反對態度	法務部政務次長陳明堂直言
      1 不转换	简体
      1 不转换	不转换
      1 不贊成43	134
      1 不贊成	不知道
      1 不贊成	10
      1 不能輕易更動	婚姻制度的健康
      1 不知道或沒意見為11	8
      1 不知道	沒意見
      1 不應讓不同意見進場	92
      1 不必特別保障為31	7
      1 不得牴觸憲法	亦不得牴觸具有相當於憲法位階效力之司法
      1 不得牴觸憲法	亦不得牴觸具有相當於憲法位階
      1 不得牴觸憲法	亦不得牴觸具有相當憲法位階效力之司法院解釋
      1 不少委員迴避拒審	以致審查並無進度
      1 不少人互相擁抱	即使下午降下大雨
      1 不宜貿然修	正
      1 不合人倫	蘋果日報
      1 不列顛哥倫比亞	曼尼托巴
      1 不分性別	使同性伴侶長年來無法簽
      1 不	可修民法
      1 下载为PDF	工具
      1 下午兩點正式開始	一直進行到晚間八點半結束
      1 下午兩點左右人	數開始激增
      1 下午一點左右委員會完成審議並將法案送出進入政黨	協商階段
      1 下加利福尼亚州	承认同性婚姻
      1 下一代教育國小性教育加入性慾探索教材	等議題
      1 下一代成為性解放	的俘虜
      1 下一代幸福聯盟發動公投記者會會後新聞稿	同性婚姻應交付公投
      1 下一代幸福聯盟早上七點左右聚集立法院外	人數約十萬人
      1 下一代幸福聯盟於蘋果日報	聯合報
      1 下一代幸福聯盟推動同婚	特別法形式
      1 下一代幸福聯盟	集結凱達格蘭大道
      1 下一代幸福聯盟	部分成員以闖入立法院的方式進行激烈抗爭
      1 下一代幸福聯盟	簡稱幸福盟
      1 下一代幸福聯盟	於台灣各大電視媒體買下多個時段的廣告
      1 下一代幸福聯盟	於台北凱達格蘭大道
      1 下一代幸福聯盟	捍衛家庭學生聯盟
      1 下一代幸福聯盟	戴口罩的糾察人員以手拉手
      1 上報	酷新聞
      1 上传文件	特殊页面
      1 上	想想論壇
      1 三項法案中	婚姻平權法案於2013年10月25日由鄭麗君立委代為提案
      1 三項推案最後均隨著2016年第八屆立法院會期結束	屆期不連續原則而無疾而終
      1 三讀	經表決後遭民進黨多數封殺
      1 三立等頻道連續四天播放	廣告主題為
      1 丁寧	炎亞綸
      1 丁守中	但例外不能變正常
      1 一起生活	而為部落中人所接受
      1 一讀通過付委	聯合新聞網
      1 一知半解	蘋果日報
      1 一直進行到晚間八點半結束	共號召二十三組藝人登臺獻藝
      1 一男一女	一生一世
      1 一生一世	108
      1 一概反對	111
      1 一方	雙方
      1 一方	網站無資料
      1 一方	年齡限制
      1 一夫一妻	一男一女
      1 一同支持	不
      1 一同去家遊Go	Together
      1 한국어	Polski
      1 العربية	English
      1 Русский	Tiếng
      1 zh	wikipedia
      1 zh	alternate
      1 Yes	子女同志
      1 yam蕃薯藤新聞	2016
      1 www	judicial
      1 www	civil
      1 www	ca
      1 womany	女人迷
      1 womany	net
      1 Wikipedia	和维基百科标志是维基媒体基金会的注册商标
      1 Wikipedia	zh
      1 wikipedia	org
      1 Wikimedia	Foundation
      1 Webarchive模板wayback链接	引文格式1错误
      1 w	index
      1 voting	box
      1 vo	ting投票則有71
      1 Việt	Bân
      1 Unregistered_cohabitation	以色列
      1 Unregistered	cohabitation
      1 unions	BBC
      1 unions	and
      1 union	legislation
      1 union	court
      1 tw	news
      1 tw	2018
      1 TW	2017
      1 tw	2015
      1 TVBS民調中心	121
      1 TVBS民意調查中心	國人對同性戀看法民調
      1 TVBS	東
      1 TVBS	2016
      1 Together	為主軸議題
      1 to	allow
      1 title	臺灣同性婚姻
      1 ting投票則有71	的投票者支持一步到位制訂同性婚姻法
      1 Tiếng	Việt
      1 the	Cayman
      1 the	Americas
      1 Taiwan	move
      1 Taiwan	icon
      1 taipei	2015
      1 taichung	gov
      1 svg	非洲
      1 svg	政治主题
      1 svg	台灣主题
      1 svg	LGBT主题
      1 Status	of
      1 Sint	Maarten
      1 sex	couples
      1 San	Marino
      1 S	H
      1 roodo	com
      1 reader	roodo
      1 QueerWatch	2016
      1 Queermosa	Awards
      1 qaliqali	女生跟女生很親密的
      1 privatization	同性結合離婚
      1 Powered	by
      1 Português	Русский
      1 Polski	Português
      1 politics	breakingnews
      1 policy	LGBT收養
      1 Poland	參見
      1 php	title
      1 PDF	臺灣人權學刊
      1 PDF	存档于2016
      1 PDF	82
      1 PDF	45
      1 PDF	20
      1 PDF	13
      1 PDF	129
      1 org	w
      1 oldid	52725352
      1 Oceania	婚姻私有化
      1 Nuvola	LGBT
      1 ntpc	gov
      1 Nownews	2016
      1 No	聯合新聞網
      1 Next	Magazine
      1 news	politics
      1 news	ltn
      1 net	2017
      1 NCC	於撥出當日便收到上千封的抗議信函
      1 N	C
      1 move	to
      1 military	policy
      1 MeToo大遊行	勵馨接住你
      1 MediaWiki	
      1 Marriage	privatization
      1 marriage	in
      1 marriage	1
      1 Marino	開曼群島
      1 Magazine	TW
      1 Maarten	7
      1 ltn	com
      1 LGBT收養	註釋
      1 LGBT主题	取自
      1 LGBT主題	查
      1 LGBT	事件
      1 LGBT	flag
      1 legislation	同性結合訴訟
      1 langilangi	他們彼此住在同一個屋簷下
      1 land	gov
      1 lâm	gú
      1 judicial	gov
      1 Israel	聖馬利諾
      1 Islands	波蘭
      1 IRC即时聊天	联络我们
      1 Indonesia	한국어
      1 index	php
      1 in	San
      1 in	Poland
      1 in	Oceania
      1 in	Israel
      1 in	Europe
      1 in	Asia
      1 in	Aruba
      1 in	Armenia
      1 in	Africa
      1 icon	svg
      1 Hush	蕭亞軒
      1 https	zh
      1 http	news
      1 Hogg	Chris
      1 H	E
      1 gú	编辑链接
      1 Gray	於台北市福華飯店
      1 gov	taipei
      1 glrslaw	e
      1 gay	unions
      1 Gay	flag
      1 Foundation	Powered
      1 FAQ	PDF
      1 Europe	美洲同性結合
      1 ETToday東森新聞雲	2013
      1 ETtoday	2016
      1 Español	Bahasa
      1 English	Español
      1 en	自2018年4月带有失效链接的条目
      1 E	坤達
      1 e	land
      1 Divorce	of
      1 date	中的日期值
      1 Curaçao	and
      1 CS1英语来源	en
      1 court	cases
      1 couples	同性結合與軍方政策
      1 Cookie声明	手机版视图
      1 com	tw
      1 com	2017
      1 coloured	voting
      1 cohabitation	in
      1 civil	taichung
      1 Chris	Taiwan
      1 CEF邀連柯談兒少教育政策	2014
      1 ＣＥＦ中間選民論壇第一波聯名	者中
      1 ＣＥＦ中間選民論壇	認為
      1 Cayman	Islands
      1 cases	同性結合關係歷史年表
      1 ca	ntpc
      1 ca	gov
      1 C	當晚七點表
      1 C	C
      1 c	3
      1 by	MediaWiki
      1 breakingnews	1913142
      1 box	svg
      1 BBC中文網	28
      1 BBC	2013
      1 BBC	2003
      1 Bân	lâm
      1 Bahasa	Indonesia
      1 Awards	酷摩沙獎
      1 Asia	歐洲同性結合
      1 Aruba	Curaçao
      1 Armenia	8
      1 and	Sint
      1 and	military
      1 Americas	大洋洲同性結合
      1 alternate	臺灣同性婚姻
      1 alternate	编辑本页
      1 allow	gay
      1 Africa	亞洲同性結合
      1 access	date
      1 A	coloured
      1 9月	同志人權運動者祁家威具狀聲請同性婚姻釋憲
      1 99	25萬人爭平權
      1 99	2016月12月26日
      1 98	讓生命不再逝去
      1 97	平權音樂會
      1 97	9
      1 96	凱道25萬人挺同婚
      1 96	97
      1 96	29
      1 95	婦女新知基金會
      1 95	2016年11月16日
      1 94	反多元成家公投
      1 94	95
      1 93	婚姻平權異見多
      1 93	2013年11月31日
      1 92	舉牌遭包圍
      1 92	93
      1 91	黃聖峰
      1 91	81
      1 90	多元成家立院通關
      1 90	其它意見亦指出反對陣營張冠李戴
      1 9	爱沙尼亚
      1 9	林實芳
      1 9	據口述歷史
      1 9	只承认墨西哥合众国境内实行的同性婚姻
      1 9	8
      1 9	2012年4月
      1 9	16
      1 8月1日	愛最大
      1 8月1日	基於法案遭立法院擱置
      1 8月11日	釋昭慧法師為兩位居士在桃園縣觀音鄉弘誓學院主持婚禮
      1 8月	伴侶盟律師團
      1 8月	中華民國內政部經過專案會議討論
      1 89	護家盟
      1 89	伴侶盟理事長理事長許秀雯指出
      1 88	本院對於全國性公民投票案第10案及第12案創制之立法原則不能牴觸釋字第748號解釋之說明
      1 88	國內各方反應
      1 87	時力提案三讀婚姻平權遭封殺
      1 87	2018年11月24日
      1 86	婚姻平權民法修正草案
      1 86	2018年5月11日
      1 85	幕後
      1 85	86
      1 84	影片
      1 84	85
      1 83	而行政院性別平等處副處長吳秀貞則表示贊成
      1 83	為何反同性婚姻平權
      1 82	同性婚姻法案
      1 82	83
      1 81	81
      1 81	2014年12月21日
      1 81	2013年11月30日
      1 81	1
      1 81	0
      1 80	簡至潔
      1 80	2012年9月8日
      1 8	那些年
      1 8	該調查將問題設計為三種互斥的方式提問
      1 8	臺灣日治時期
      1 8	結婚地實行同性婚姻才會承認
      1 8	法務部在同年針對網路族群舉辦的i
      1 8	屆第
      1 8	實行民事結合或註冊伴侶關係
      1 8	外部連結
      1 8	墨西哥
      1 8	亞美尼亞
      1 8	99
      1 8	68
      1 8	65
      1 8	56
      1 8	41
      1 8	2
      1 7月17日	民進黨政府的總統府人權諮詢委員會通過了
      1 79	開放時間
      1 79	宜蘭縣政府
      1 78	宜蘭县
      1 78	哈里斯
      1 77	新竹县
      1 77	彰化縣政府
      1 76	桃園市政府
      1 76	彰化县
      1 75	調查報告第208頁
      1 75	桃園市
      1 75	嘉義市政府
      1 748	號
      1 74	新北市政府
      1 74	嘉義市
      1 73	臺南市政府
      1 73	新北市
      1 72	臺南市
      1 72	臺中市政府
      1 71	臺北市政府
      1 71	臺中市
      1 70	高雄市政府
      1 70	臺北市
      1 7	相關連結
      1 7	條保障人民平等權之意旨有違
      1 7	本院對於全國性公民投票案第10案及第12案創制之立法原則不能牴觸釋字第748號解釋之說明
      1 7	年齡越輕越支持
      1 7	只承认荷兰联合王国境内实行的同性婚姻
      1 7	以色列
      1 7	不知道或沒意見為11
      1 7	69
      1 7	43
      1 7	11
      1 7	_
      1 6色彩虹	象徵點亮立法院
      1 6月14日	民間舉辦的
      1 69	縣市
      1 69	手術同意書8月大翻新
      1 68	婚姻平權再進一步
      1 68	但此措施尚不具完全的法律效力
      1 67	同性伴侶下月可跨區註記
      1 67	只要不涉及修法與第三人權益的事項提前開放
      1 66	看得到
      1 66	2017年在司法院釋字第748號解釋公布後
      1 65	調查報告第208頁
      1 65	此後全部直轄市以及部分縣市已先後
      1 65	創全國先例
      1 64	本院對於全國性公民投票案第10案及第12案創制之立法原則不能牴觸釋字第748號解釋之說明
      1 64	同性伴侶註記
      1 63	釋憲後同婚法案首次協商
      1 63	2018年
      1 62	臺灣是亞洲首例
      1 62	3
      1 61	臺北市政府
      1 61	2
      1 60	聲請人
      1 60	61
      1 6	英格蘭
      1 6	英国的14个海外自治领土中的9个也先后通过了同性婚姻
      1 6	案通過同性婚姻不直接修改民法
      1 6	會期司法及法制委員會舉行
      1 6	參考文獻
      1 6	其中20到29歲年齡層
      1 6	8
      1 6	7
      1 6	6
      1 6	26
      1 6	1
      1 6	0
      1 5縣市未開放	自由時報
      1 5月31日	立法委員尤美女主持召開第一次朝野協商
      1 5月24日	司法院秘書長公布大法官釋字第
      1 5月20日	高雄市政府受理戶政系統同性伴侶註記
      1 5成9民眾不贊成同性戀結婚	121
      1 59	葉瑜娟
      1 59	9
      1 59	60
      1 58	婚姻平權初審過關
      1 58	2017年
      1 58	1
      1 57	挺婚姻平權
      1 57	96
      1 57	3
      1 56	另外在民進黨內部
      1 56	反對修民法
      1 56	力挺同志大遊行
      1 56	6
      1 56	31
      1 56	3
      1 55	總統蔡英文亦在個人臉書首度以總統身分表達支持態度
      1 55	正式推動
      1 55	45
      1 55	37
      1 54	愛最大
      1 54	44
      1 54	2
      1 54	18
      1 53	54
      1 53	37
      1 53	1分鐘賣完萬張票
      1 52725352	分类
      1 524	同婚釋憲結果
      1 52	5
      1 52	2016年
      1 52	2016
      1 51	力推婚姻平權
      1 51	7
      1 51	52
      1 50	同性婚姻
      1 50	3
      1 5	美国除美属萨摩亚以外的海外自治领地也先后通过了同性婚姻法案
      1 5	爱尔兰
      1 5	民意調查
      1 5	5
      1 5	30
      1 5	2
      1 5	12月26日司法委員會通過排入審查
      1 5	12月22日
      1 5	12月18日
      1 5	11
      1 5	1
      1 5	0
      1 49	同性婚姻訴訟案
      1 49	50
      1 49	29
      1 48	另外台北高等行政法院和臺北市政府也分別將向大法
      1 48	2015回顧
      1 478	號解釋
      1 47	綠委推動同性婚姻修法
      1 47	8
      1 47	2015年
      1 46	內政部出書倡新觀念
      1 46	5
      1 46	3
      1 45	沃草
      1 45	30歲以下公民
      1 44	立法院
      1 44	6
      1 44	45
      1 43	立法司法途徑雙管齊下
      1 42	模擬憲法法庭
      1 42	2
      1 41	模擬憲法法庭宣判
      1 41	7
      1 41	42
      1 40歲以下挺同居多	136
      1 40	模擬憲法法庭
      1 40	41
      1 4	無意見
      1 4	烏拉圭
      1 4	法国的5个海外大区被视作法国本土
      1 4	國內各方反應
      1 4	同性婚姻民調結果發佈記者會
      1 4	中立
      1 4	不贊成
      1 4	8
      1 4	4
      1 4	3
      1 4	2018年11月24日
      1 4	2017年5月24日
      1 4	2
      1 4	12月1日
      1 4	11月19日
      1 4	11月17日排案審查
      1 4	1
      1 3月24日	司法院大法官召開憲法法庭
      1 3月13日	中華民國法務部擬定
      1 3年9月以百萬人連署之姿	將台灣第一部由民間自主起草的多元家庭民法修正草案送進立法院
      1 39歲	贊成也高達67
      1 39	婚姻平權遊行
      1 39	5
      1 38	爭婚姻平權
      1 38	39
      1 37	第六期第三次調查報告第307
      1 37	在問及同志生育或領養子女的態度時
      1 37	同時
      1 37	交叉分析結果年齡愈小
      1 37	90
      1 37	8
      1 37	57
      1 37	38
      1 37	37
      1 37	2
      1 37	12
      1 37	1
      1 37	0
      1 36	此草案也立即引起了反對同性婚姻團體的強烈反應
      1 36	台灣舉辦同性婚姻公聽會正反方意見交鋒
      1 35	36
      1 35	2013
      1 34	同性婚姻合法化
      1 34	4
      1 33	伴侶盟
      1 33	3
      1 32	台灣內政部首次承認跨性別婚姻登記
      1 32	2
      1 31	同志大遊行
      1 31	7
      1 31	4
      1 31	2016
      1 31	2013年
      1 31	12
      1 30歲以下近8成支持	135
      1 30歲以下公民	近8成支持
      1 30分左右闖入立法院內	104
      1 308頁	2013年8月
      1 300郭采潔慘被扣歧視同志大帽	憂民眾對
      1 300教友反同志	遭背十字架反嗆
      1 30	台灣同志遊行聯盟
      1 30	原始内容存档于2016年4月22日
      1 30	中文
      1 30	67
      1 30	39歲
      1 30	31
      1 30	133
      1 30	1
      1 3	百萬家庭站出來
      1 3	登记的非营利慈善机构
      1 3	法国的所有海外自治领地及属国同样施行同性婚姻
      1 3	婚姻平權法案
      1 3	婚姻平權民法修正草案
      1 3	反對者與其主張
      1 3	5月31日
      1 3	45
      1 3	4
      1 3	31
      1 3	2017年5月24日
      1 3	2016年11月
      1 3	2
      1 3	12月10日
      1 3	11月8日
      1 3	10月27日
      1 3	10月25日
      1 3	10月16日
      1 3	1
      1 3	0协议之条款下提供
      1 2路線大躍進	ETtoday
      1 2草案初審通過	最快4月三讀
      1 2年內修法的結果出來後	現場群眾歡聲雷動
      1 2X歲民眾高達84	支持
      1 29歲71	2
      1 29	落在凡塵的美麗彩虹
      1 29	75
      1 29	57
      1 29	3
      1 29	21
      1 28	撤告
      1 28	2011
      1 28	2
      1 27新聞稿	31
      1 27	台灣法院就同性結婚申請釋憲
      1 27	50
      1 27	32
      1 27	28
      1 27	102
      1 26日立院再見	華視
      1 26日同婚修法立院決戰	挺同反同集會各據一方
      1 26	鍾逸帆
      1 26	他們在2005年訂婚
      1 26	70
      1 26	58
      1 26	12
      1 26	116
      1 25萬人爭平權	總統
      1 25	高等行政法院101年度訴字第14號
      1 25	中文
      1 25	35
      1 25	29
      1 25	26
      1 25	2017
      1 25	2013
      1 25	2009
      1 25	103
      1 24	義結金蘭
      1 24	中文
      1 24	60
      1 24	56
      1 24	5
      1 24	2011年
      1 23	因遭受立委多數反對
      1 23	原始内容存档于2013
      1 23	95
      1 23	51
      1 23	23
      1 23	2013
      1 23	2007年
      1 23	0
      1 22	然而在同月20日
      1 22	然而
      1 22	條保障人民婚姻自由
      1 22	原始内容存档于2014
      1 22	中文
      1 22	48
      1 22	22
      1 22	2016
      1 22	113
      1 22	1
      1 22	0
      1 21	21
      1 21	2012年8月
      1 21	1
      1 21	0
      1 208	120
      1 2019年5月24日	距今还有124天
      1 2018年中華民國全國性公民投票	支持方
      1 2018年5月11日	立法院時代力量黨團在院會提出讓與婚姻平權有關的
      1 2018年	2018年中華民國全國性公民投票
      1 2018年	11月24日
      1 2018	5
      1 2018	10
      1 2017月5月24日	挺同婚團體號召上萬名群眾集結於立法院旁青島東路
      1 2017年在司法院釋字第748號解釋公布後	行政院宣布將於同年7月以行政命令開放全國性的同性伴侶戶政註記
      1 2017年5月24日	大法官宣布现行民法相关条文违宪
      1 2017年5月24日	司法院公布釋字第748號解釋文
      1 2017年	同性婚姻釋憲案
      1 2017年	參見
      1 2017	03
      1 2016月12月26日	立法院司法及法制委員會進行婚姻平權民法修改的審議
      1 2016年立法委員選舉	民進黨獲得國會多數席次
      1 2016年中華民國立法委員選舉	婚姻平權法案
      1 2016年2月4日行政院公民投票審議委員會聽證會	原始内容存档于2017年3月26日
      1 2016年2月23日	信心希望聯盟所提
      1 2016年12月3日	下一代幸福聯盟
      1 2016年12月2日	蘋果日報
      1 2016年12月26日	立法院司法與法制委員會審查同性婚姻相關草案
      1 2016年12月10日國際人權日當天	由台灣同志諮詢熱線協會
      1 2016年12月	台灣民意基金會
      1 2016年11月8日	執政民主進步黨控制的立法院一讀通過
      1 2016年11月30日	下一代幸福聯盟
      1 2016年11月28日	為聲援同日立法院由尤美女委員召開公聽會
      1 2016年11月25日起	各大報出現篇幅不一的報導或廣告指稱
      1 2016年11月17日	下一代幸福聯盟早上七點左右聚集立法院外
      1 2016年11月16日	下一代幸福聯盟於蘋果日報
      1 2016年11月	行政部門的法務部部長邱太三在立法院諮詢時
      1 2016年11月	民進黨
      1 2016年11月	國民黨
      1 2016年11月	台灣民意基金會
      1 2016年11月	台灣智庫
      1 2016年	2016年中華民國立法委員選舉
      1 2016年	1
      1 2016	婚姻平權立委連線
      1 2016	208
      1 2016	11
      1 2016	07
