      7 Kay	S	Hymowitz
      1 fathers	who	contracted
      1 fathers	were	constitutionally
      1 fatherlessness	among	ex
      1 father	took	the
      1 father	sits	you
      1 father	exclaimed	smiling
      1 far	more	attention
      1 far	beyond	the
      1 family	Whippings	and
      1 family	which	they
      1 family	to	prevent
      1 family	ties	and
      1 family	That	s
      1 family	s	home
      1 family	Republican	marriage
      1 family	reading	or
      1 family	Political	thinkers
      1 family	life	though
      1 family	life	the
      1 family	law	be
      1 family	fortunes	and
      1 family	bond	into
      1 family	because	it
      1 family	became	a
      1 family	as	a
      1 family	and	the
      1 family	an	unusually
      1 families	whether	divorced
      1 families	were	an
      1 families	Tocqueville	observed
      1 families	To	hear
      1 families	Their	aim
      1 families	that	would
      1 families	John	Adams
      1 families	in	which
      1 families	helped	here
      1 families	enjoy	a
      1 families	did	They
      1 families	began	to
      1 families	as	many
      1 families	As	for
      1 families	are	black
      1 familiar	with	founding
      1 familiar	refrain	in
      1 familiar	intimacy	which
      1 familiar	anthropological	truth
      1 familial	relations	both
      1 failure	and	welfare
      1 fails	socially	and
      1 faculties	of	a
      1 factory	specifically	designed
      1 fact	the	fraying
      1 fact	that	these
      1 fact	gay	marriage
      1 Facebook	Twitter	Google
      1 Facebook	Share	on
      1 Facebook	City	Journal
      1 F	Cott	s
      1 eye	says	Your
      1 external	authority	or
      1 extension	of	America
      1 expressed	the	Founders
      1 explain	the	decline
      1 Experts	Heather	Mac
      1 experts	emphasized	to
      1 expert	Horace	Bushnell
      1 experiment	to	harness
      1 experiment	that	they
      1 experiment	testing	the
      1 experience	that	their
      1 experience	of	standing
      1 expected	the	republican
      1 expect	that	their
      1 expanded	westward	the
      1 expanded	over	time
      1 exit	door	flew
      1 executed	as	possible
      1 exclaimed	smiling	to
      1 examples	the	Supreme
      1 examples	suggest	an
      1 exactly	Is	it
      1 ex	slaves	to
      1 ex	slaves	disastrous
      1 ex	slaves	become
      1 evolving	nature	of
      1 evolution	of	that
      1 evolution	of	marriage
      1 everything	that	the
      1 everyone	has	a
      1 every	state	Jonathan
      1 Every	society	has
      1 every	school	vacation
      1 eventually	be	turned
      1 event	of	a
      1 even	while	threatening
      1 even	though	divorce
      1 even	spiritual	union
      1 Even	so	at
      1 even	in	their
      1 even	further	Share
      1 even	a	life
      1 evaporated	the	marital
      1 Europeans	were	increasingly
      1 European	observers	of
      1 Europe	where	arranged
      1 Europe	they	had
      1 Europe	American	marriage
      1 establishing	paternity	legitimacy
      1 essential	part	of
      1 Essential	as	it
      1 essence	of	the
      1 essay	in	New
      1 especially	by	letting
      1 era	marriage	theorists
      1 equality	the	new
      1 equality	that	could
      1 equality	prevails	around
      1 equality	In	the
      1 equality	and	mutual
      1 equal	self	governing
      1 equal	protection	clause
      1 envisioned	too	many
      1 envisioned	a	very
      1 environment	in	which
      1 entering	into	marriage
      1 enter	into	wedlock
      1 enter	into	contracts
      1 enter	into	a
      1 ensure	the	civil
      1 enough	to	see
      1 enough	to	cast
      1 enlarges	their	sympathy
      1 enjoy	a	familiar
      1 engaging	in	an
      1 enforceable	by	the
      1 enfeebled	institution	another
      1 endured	Yankelovich	Partners
      1 end	with	Martin
      1 end	in	the
      1 encouraged	parents	to
      1 encourage	ex	slaves
      1 emphasizing	marriage	as
      1 emphasized	to	American
      1 emphasis	on	individual
      1 emotions	should	not
      1 emotionally	grueling	on
      1 eminently	malleable	social
      1 eminent	anthropologists	writing
      1 emerging	ideals	of
      1 embrace	of	the
      1 embody	the	habits
      1 embedded	in	our
      1 Email	Alerts	Summer
      1 Email	____________________	Subject
      1 eloquent	advocates	writing
      1 element	of	spirituality
      1 elders	intent	on
      1 elastic	institution	that
      1 elaborated	on	this
      1 either	for	welfare
      1 either	external	authority
      1 EIN	13	2912529
      1 eighteenth	century	however
      1 eight	or	ten
      1 Eide	Nicole	Gelinas
      1 egalitarian	youthful	spirit
      1 Edward	L	Glaeser
      1 educated	contemporaries	in
      1 edited	by	Brian
      1 edifice	in	which
      1 economy	in	which
      1 Economics	The	Magazine
      1 Economics	Projects	Health
      1 Economics	On	the
      1 economics	and	culture
      1 economic	sense	Even
      1 echo	and	shape
      1 easily	accommodate	homosexuals
      1 earnest	devotion	to
      1 earner	counterparts	Instead
      1 early	writers	including
      1 Early	republican	child
      1 early	nineteenth	century
      1 Earlier	women	s
      1 earlier	chapter	in
      1 Earl	Warren	wrote
      1 each	other	in
      1 each	other	But
      1 each	other	any
      1 each	individual	child
      1 during	this	history
      1 During	the	Revolutionary
      1 during	a	visit
      1 dual	state	concern
      1 drive	through	divorces
      1 dramatize	what	she
      1 drama	concerns	a
      1 drafting	table	Like
      1 downside	British	naval
      1 down	its	principles
      1 down	child	support
      1 down	at	the
      1 doubt	on	the
      1 door	This	protean
      1 door	flew	open
      1 Donald	Topics	Health
      1 Donald	Myron	Magnet
      1 don	t	Why
      1 don	t	love
      1 don	t	hear
      1 don	t	allow
      1 domination	and	coercion
      1 domestic	order	appeared
      1 domestic	life	Gay
      1 domestic	hearth	The
      1 doing	the	same
      1 doing	so	In
      1 doing	so	and
      1 doesn	t	mean
      1 do	with	propagating
      1 do	with	child
      1 do	us	part
      1 do	so	wisely
      1 do	markedly	less
      1 divorces	A	1994
      1 divorced	or	never
      1 divorce	you	three
      1 divorce	was	more
      1 divorce	some	allow
      1 divorce	signaled	a
      1 divorce	revolution	and
      1 divorce	laws	loosened
      1 divorce	is	the
      1 Divorce	is	such
      1 divorce	if	it
      1 divorce	if	husbands
      1 divorce	courts	they
      1 divorce	but	not
      1 divorce	along	with
      1 diversity	of	variations
      1 diversity	of	socially
      1 diversity	marriage	has
      1 diversity	is	central
      1 distributing	health	insurance
      1 distraction	from	the
      1 distorted	picture	of
      1 distinguishing	wed	and
      1 dismaying	for	decades
      1 disdainful	but	other
      1 discussions	of	what
      1 discussions	Given	that
      1 discovering	that	preparing
      1 discipline	was	designed
      1 discipline	adult	passion
      1 disastrous	consequences	of
      1 disappearing	only	to
      1 directly	from	American
      1 dignity	upon	our
      1 different	though	admittedly
      1 different	from	what
      1 different	from	denying
      1 different	cultures	have
      1 didn	t	foresee
      1 did	They	believed
      1 did	the	law
      1 did	the	Founders
      1 did	not	sketch
      1 dictionary	neat	meaning
      1 diary	in	1778
      1 devotion	to	marriage
      1 development	If	marriage
      1 development	by	GoodFolk
      1 developed	at	the
      1 develop	habits	of
      1 determining	individuals	Young
      1 determining	custody	and
      1 determining	couple	engaging
      1 determine	their	country
      1 determination	Essential	as
      1 detaching	us	from
      1 detaching	the	tradition
      1 destruction	wrought	during
      1 destiny	Just	as
      1 designing	they	had
      1 designed	to	turn
      1 designed	to	get
      1 design	and	development
      1 deserve	those	rights
      1 describe	as	a
      1 dependent	on	a
      1 dependency	are	everything
      1 dependably	self	reliant
      1 denying	homosexuals	the
      1 denying	blacks	the
      1 demonstrating	conclusively	that
      1 Demographics	has	put
      1 Demographers	usually	explain
      1 democratic	novels	of
      1 democratic	notions	from
      1 democratic	families	enjoy
      1 democratic	equality	In
      1 demands	of	the
      1 demanding	vision	of
      1 demanding	than	socializing
      1 demand	when	you
      1 demand	that	love
      1 demand	for	absolute
      1 demand	for	a
      1 definitively	separated	child
      1 definition	of	marriage
      1 deeply	That	was
      1 deeply	embedded	in
      1 dedication	to	civil
      1 dedication	to	child
      1 decreed	that	marriage
      1 decreased	49	percent
      1 decline	in	fertility
      1 decisions	For	if
      1 decision	on	one
      1 decision	in	words
      1 decided	that	safeguarding
      1 decided	that	custody
      1 decades	of	high
      1 decades	have	turned
      1 decades	has	been
      1 debate	The	court
      1 debate	over	gay
      1 debate	is	over
      1 debate	If	marriage
      1 debate	about	detaching
      1 death	interest	in
      1 death	do	us
      1 de	Tocqueville	were
      1 days	everyone	has
      1 days	before	they
      1 Davis	Hanson	Howard
      1 Dalrymple	Stephen	Eide
      1 dad	knows	parents
      1 Dad	every	school
      1 d	favor	a
      1 custody	laws	distinguishing
      1 custody	and	tracking
      1 currently	shaking	up
      1 current	predicament	of
      1 current	discussions	Given
      1 current	debate	The
      1 current	debate	over
      1 cultures	the	wife
      1 cultures	have	elaborated
      1 cultures	give	husbands
      1 cultures	don	t
      1 cultures	allow	only
      1 culture	Untoxic	Masculinity
      1 culture	This	demand
      1 culture	has	produced
      1 culture	at	this
      1 culture	Advocates	for
      1 culturally	because	in
      1 cultural	revolution	given
      1 cultivated	wrote	Lydia
      1 crusades	tell	us
      1 crucial	to	it
      1 crowded	into	the
      1 crime	school	failure
      1 creating	independent	industrious
      1 created	the	Freedmen
      1 create	stable	families
      1 Courtship	was	closer
      1 courts	they	were
      1 courts	in	all
      1 court	s	long
      1 court	rested	its
      1 Court	justice	wrote
      1 Court	in	Loving
      1 Court	decided	that
      1 course	They	brought
      1 couples	Young	parents
      1 couples	would	care
      1 couple	who	had
      1 couple	that	has
      1 couple	maintaining	the
      1 couple	engaging	in
      1 couple	and	the
      1 country	to	visit
      1 country	than	in
      1 country	s	destiny
      1 country	It	s
      1 country	could	not
      1 counterparts	Instead	of
      1 could	transcend	class
      1 could	then	be
      1 could	only	be
      1 could	not	remain
      1 could	freely	choose
      1 Cott	s	Public
      1 core	that	makes
      1 core	our	own
      1 Copyright	2019	Manhattan
      1 conundrum	for	the
      1 Contributors	Brian	C
      1 Contributors	Books	Multimedia
      1 contrasted	with	their
      1 contracts	These	abolitionists
      1 contracts	of	all
      1 contracted	them	As
      1 contract	that	has
      1 contract	regulated	by
      1 contract	If	the
      1 contract	and	that
      1 Contraception	and	Abortion
      1 contraception	and	abortion
      1 Continental	Congress	and
      1 contemporaries	in	Western
      1 Contact	Send	a
      1 Contact	Advertise	Privacy
      1 construct	why	shouldn
      1 constitutionally	repugnant	Fathers
      1 considering	just	how
      1 consequent	change	in
      1 consequences	of	the
      1 congruent	with	emerging
      1 Congress	and	later
      1 CONFIRM	City	Journal
      1 confers	a	special
      1 conclusively	that	marriage
      1 conclusions	More	on
      1 conclude	that	the
      1 concerns	itself	with
      1 concerns	a	rich
      1 concern	the	rights
      1 concern	takes	on
      1 concern	In	addition
      1 complex	legacy	remembering
      1 complex	and	demanding
      1 competent	industrious	self
      1 comparison	much	more
      1 compare	the	current
      1 communal	societies	Early
      1 commonsensical	But	what
      1 commonplace	throughout	much
      1 commonly	repeated	argument
      1 Common	Man	Nicole
      1 committed	love	relationship
      1 committed	intimate	relationships
      1 commitment	after	all
      1 comment	using	the
      1 coming	to	realize
      1 comes	with	profound
      1 comes	in	many
      1 comes	from	its
      1 come	up	with
      1 come	to	think
      1 Come	my	sweet
      1 come	in	out
      1 com	ns	html
      1 colonists	pioneer	past
      1 cold	I	won
      1 cohabiting	parents	as
      1 coercion	was	the
      1 closer	in	spirit
      1 closed	the	debate
      1 Close	Search	____________________
      1 Close	Nav	Search
      1 Close	Gay	Marriage
      1 Close		
      1 clergyman	and	child
      1 clear	away	many
      1 clause	Marriage	is
      1 class	or	clan
      1 class	barriers	to
      1 clan	Courtship	was
      1 Claire	Berlinski	Paul
      1 CJ_14_3	jpg	More
      1 Civil	War	anti
      1 civil	rights	revolution
      1 civil	rights	movement
      1 civil	rights	argument
      1 civil	rights	and
      1 civil	right	that
      1 civil	right	of
      1 civil	contract	that
      1 civil	contract	If
      1 civil	contract	and
      1 civic	responsibility	marriage
      1 City	Journal	RSS
      1 City	Journal	is
      1 City	Journal	A
      1 citizenship	and	is
      1 citizens	would	be
      1 citizens	who	would
      1 citizens	were	going
      1 citizens	too	many
      1 citizens	to	enter
      1 citizens	The	evolution
      1 citizens	something	quite
      1 citizens	should	not
      1 citizens	our	capacity
      1 citizens	No	one
      1 citizens	is	raised
      1 citizens	had	to
      1 citizens	American	children
      1 citizenly	self	reliance
      1 citizen	a	1791
      1 cite	the	historical
      1 cite	just	one
      1 circumstances	A	number
      1 church	with	its
      1 chosen	vow	was
      1 chosen	each	other
      1 chose	to	enter
      1 choosing	to	get
      1 choose	their	spouses
      1 choose	their	own
      1 choose	It	is
      1 choose	for	themselves
      1 choice	would	promote
      1 choice	and	equality
      1 children	who	were
      1 children	who	grew
      1 children	trekked	across
      1 children	to	thrive
      1 children	to	meet
      1 children	to	behave
      1 children	Therefore	marriage
      1 children	That	s
      1 children	some	make
      1 children	should	be
      1 children	quite	like
      1 Children	preparing	for
      1 children	of	never
      1 children	it	has
      1 children	In	light
      1 children	in	1800
      1 children	he	says
      1 children	for	self
      1 children	Few	of
      1 children	can	invest
      1 children	born	to
      1 children	as	a
      1 children	are	raised
      1 children	are	born
      1 children	and	nothing
      1 childhood	that	boomers
      1 child	than	those
      1 child	support	And
      1 child	s	mother
      1 child	s	mind
      1 child	rearing	were
      1 child	rearing	to
      1 child	rearing	s
      1 child	rearing	represented
      1 child	rearing	experts
      1 child	rearing	bond
      1 child	rearing	Americans
      1 child	insisted	yet
      1 Child	in	Mother
      1 child	expert	Horace
      1 child	centered	couple
      1 Chief	Justice	Earl
      1 Charlotte	Brontë	in
      1 character	of	sterling
      1 chapter	in	the
      1 changing	and	elastic
      1 changes	in	the
      1 change	in	thinking
      1 change	a	group
      1 certainly	protects	their
      1 certainly	invoke	fragments
      1 ceremony	confers	a
      1 century	tell	it
      1 century	It	was
      1 century	however	Western
      1 century	from	an
      1 Century	America	the
      1 central	to	today
      1 centered	largely	on
      1 centered	couple	who
      1 Center	found	that
      1 celebrates	the	moon
      1 celebrated	self	government
      1 casting	aside	the
      1 caste	class	or
      1 cast	serious	doubt
      1 case	to	cite
      1 case	that	legalized
      1 case	Strange	as
      1 case	judges	decreed
      1 case	by	the
      1 case	arguing	that
      1 case	after	case
      1 carrie	nation	temperance
      1 career	and	marriage
      1 Care	Publications	Health
      1 care	Many	have
      1 care	for	and
      1 car	loan	it
      1 captain	who	being
      1 Captain	Frederick	Marryat
      1 capacity	for	stable
      1 capacity	for	self
      1 capable	of	doing
      1 Cancel	Send	Saved
      1 CANCEL	CONFIRM	City
      1 can	invest	far
      1 can	easily	accommodate
      1 came	to	an
      1 came	pouring	out
      1 called	him	to
      1 call	republican	marriage
      1 C	Anderson	William
      1 C	Anderson	The
      1 byword	for	rugged
      1 by	which	the
      1 by	the	state
      1 by	the	promiscuity
      1 by	the	National
      1 by	the	Manhattan
      1 by	the	laws
      1 By	the	late
      1 by	the	late
      1 By	the	Jacksonian
      1 by	the	egalitarian
      1 by	nurturing	free
      1 by	letting	gays
      1 by	GoodFolk	Contact
      1 by	elders	intent
      1 by	Brian	C
      1 by	1900	Demographers
      1 But	what	the
      1 but	they	know
      1 but	such	sturdiness
      1 but	should	be
      1 but	other	European
      1 but	only	the
      1 but	not	remarriage
      1 but	no	one
      1 But	it	s
      1 but	it	s
      1 but	it	also
      1 but	emotions	should
      1 But	detaching	the
      1 but	complex	legacy
      1 But	beneath	all
      1 but	advocates	certainly
      1 But	a	look
      1 business	at	all
      1 Bushnell	wrote	in
      1 bush_666_400	jpg	eye
      1 Bush	R	I
      1 Bureau	weep	Think
      1 Bureau	in	part
      1 building	That	the
      1 brought	up	to
      1 brought	to	their
      1 brought	a	more
      1 brother	the	baby
      1 Brontë	in	which
      1 Brodie	s	Contraception
      1 British	naval	officer
      1 bring	up	kids
      1 bring	on	their
      1 brief	in	the
      1 breakup	Sometimes	parents
      1 breaks	Or	given
      1 boy	answered	Come
      1 bow	and	arrow
      1 both	sprang	from
      1 both	sides	but
      1 both	necessary	precursors
      1 both	echo	and
      1 both	a	voluntary
      1 born	women	decreased
      1 born	to	white
      1 born	out	of
      1 born	master	coming
      1 booting	his	wife
      1 boomers	supposedly	had
      1 boomer	parents	agree
      1 books	well	into
      1 books	and	culture
      1 Book	kids	should
      1 bond	over	the
      1 bond	into	the
      1 bolster	their	case
      1 bogle_666_400	jpg	eye
      1 Bogle	s	positive
      1 Bob	McManus	Judith
      1 blank	slate	of
      1 blacks	to	enter
      1 blacks	the	right
      1 blacks	and	women
      1 black	would	make
      1 black	marriage	and
      1 black	homosexual	analogy
      1 black	citizens	to
      1 bitter	and	lived
      1 beyond	the	passing
      1 beyond	a	mushrooming
      1 between	two	self
      1 between	two	loving
      1 between	two	adults
      1 between	the	spouses
      1 between	spouses	led
      1 between	generations	That
      1 between	child	rearing
      1 between	black	marriage
      1 between	adults	and
      1 Beston	Theodore	Dalrymple
      1 best	option	for
      1 best	live	up
      1 Berlinski	Paul	Beston
      1 Beran	Claire	Berlinski
      1 Benjamin	Weingarten	Herb
      1 beneath	all	the
      1 below	This	message
      1 beloved	This	is
      1 believed	that	the
      1 believed	that	American
      1 believed	above	all
      1 beliefs	the	Founders
      1 beings	have	come
      1 being	The	ceremony
      1 being	from	the
      1 behave	virtuously	because
      1 begin	with	Rosa
      1 began	to	shrink
      1 began	pulling	off
      1 before	they	had
      1 Before	the	Revolutionary
      1 before	booting	his
      1 been	the	means
      1 been	inevitable	in
      1 been	in	a
      1 been	disdainful	but
      1 been	a	step
      1 been	a	great
      1 bedroom	ranch	in
      1 becoming	a	minimalist
      1 becomes	a	husband
      1 become	responsible	self
      1 become	a	familiar
      1 because	they	had
      1 because	they	feared
      1 because	these	goals
      1 because	of	child
      1 because	it	is
      1 because	it	follows
      1 because	in	our
      1 became	a	byword
      1 beatings	commonplace	throughout
      1 beasts	and	more
      1 bearing	and	raising
      1 be	used	only
      1 be	updated	to
      1 be	turned	against
      1 be	traded	off
      1 be	traced	James
      1 be	threatened	as
      1 be	that	there
      1 be	sure	what
      1 be	skeptical	about
      1 be	self	governing
      1 be	routed	through
      1 be	projected	into
      1 be	negotiated	through
      1 be	more	in
      1 be	married	But
      1 be	logical	if
      1 be	learned	in
      1 be	laid	in
      1 be	doing	the
      1 be	cultivated	wrote
      1 be	competent	industrious
      1 be	capable	of
      1 be	brought	up
      1 be	an	essential
      1 be	allowed	to
      1 be	active	observant
      1 battered	and	the
      1 basic	sociological	truth
      1 basic	civil	rights
      1 based	on	individual
      1 bartering	than	romance
      1 Barron	Michael	Knox
      1 barriers	to	recognize
      1 bans	on	such
      1 backward	it	has
      1 background	in	the
      1 back	It	is
      1 bachelorettes	Given	the
      1 babysitters	while	their
      1 baby	s	uncle
      1 baby	if	she
      1 away	many	of
      1 away	from	the
      1 away	from	a
      1 average	of	seven
      1 average	in	school
      1 Avenue	New	York
      1 available	on	demand
      1 authority	or	the
      1 authority	Marryat	may
      1 authority	less	absolute
      1 authority	in	all
      1 authoritarian	fathers	who
      1 author	of	the
      1 author	Captain	Frederick
      1 Austen	dramatize	what
      1 attraction	and	judging
      1 attention	in	each
      1 attention	and	activity
      1 attach	ourselves	the
      1 at	war	with
      1 at	this	time
      1 at	the	time
      1 at	the	same
      1 at	the	peaceful
      1 at	the	kitchen
      1 at	that	history
      1 at	record	rates
      1 at	least	under
      1 at	least	one
      1 at	all	While
      1 at	all	it
      1 assumptions	remained	implicit
      1 assumptions	about	the
      1 assumption	that	marriage
      1 assertion	that	man
      1 asserted	in	an
      1 assert	in	a
      1 aspires	to	transcendence
      1 aside	the	complex
      1 as	well	Throughout
      1 as	virtually	identical
      1 as	vicious	and
      1 as	to	embody
      1 as	those	who
      1 as	these	examples
      1 as	their	inheritance
      1 as	the	whole
      1 as	the	result
      1 as	the	repeal
      1 as	the	institution
      1 as	the	environment
      1 as	seldom	executed
      1 as	seldom	as
      1 as	racism	gay
      1 as	possible	clergyman
      1 as	possible	and
      1 as	part	of
      1 as	many	ways
      1 as	many	studies
      1 as	many	of
      1 as	later	when
      1 as	Jefferson	put
      1 as	it	was
      1 as	it	sounds
      1 as	it	seems
      1 as	interested	in
      1 As	historian	Jay
      1 As	for	children
      1 as	divorce	laws
      1 as	citizens	would
      1 As	any	soccer
      1 as	any	of
      1 as	an	intimate
      1 as	an	institution
      1 As	Americans	crowded
      1 as	American	Demographics
      1 as	adults	do
      1 as	a	startling
      1 as	a	solemn
      1 as	a	result
      1 as	a	new
      1 as	a	loving
      1 as	a	love
      1 as	a	last
      1 as	a	kind
      1 as	a	federal
      1 as	a	factory
      1 as	a	distraction
      1 article	on	Facebook
      1 arrow	lessons	Some
      1 arrangement	for	rearing
      1 arranged	marriages	remained
      1 arranged	marriages	and
      1 around	the	domestic
      1 around	1968	but
      1 aristocratic	families	Tocqueville
      1 argument	They	frequently
      1 argument	that	marriage
      1 argument	goes	like
      1 argument	forgets	what
      1 arguing	that	gay
      1 argue	shows	us
      1 are	we	to
      1 are	The	great
      1 are	right	about
      1 are	raised	The
      1 are	poor	and
      1 are	nostalgic	for
      1 are	inclined	to
      1 are	in	if
      1 are	familiar	with
      1 are	everything	that
      1 are	dependent	on
      1 are	born	out
      1 are	black	would
      1 are	available	on
      1 are	as	vicious
      1 are	a	natural
      1 architecture	of	republican
      1 architects	of	the
      1 approved	forms	of
      1 approach	toward	the
      1 approach	and	ordered
      1 apple	pie	young
      1 appeared	to	be
      1 anything	to	do
      1 any	way	it
      1 any	soccer	mom
      1 any	of	Fox
      1 any	more	In
      1 any	more	and
      1 any	American	history
      1 anti	slavery	Republicans
      1 anti	homosexual	sentiments
      1 anthropologists	writing	recently
      1 anthropologists	are	right
      1 anthropological	truth	that
      1 answered	Come	my
      1 answer	could	only
      1 another	truth	you
      1 another	step	forward
      1 another	reason	to
      1 another	person	that
      1 another	injection	of
      1 Andrews	Seth	Barron
      1 Andrew	Sullivan	Ignore
      1 Andrew	Sullivan	along
      1 Andrew	Klavan	Joel
      1 Anderson	William	Andrews
      1 Anderson	The	Magazine
      1 and	you	get
      1 and	women	which
      1 and	woman	What
      1 and	who	would
      1 and	welfare	dependency
      1 and	virtuous	All
      1 and	very	much
      1 and	unwed	fathers
      1 and	unable	to
      1 and	ultimately	enforceable
      1 and	tracking	down
      1 and	to	individual
      1 and	those	of
      1 and	thirties	the
      1 and	thirties	said
      1 and	thirties	are
      1 and	these	assumptions
      1 and	their	offspring
      1 and	their	interest
      1 and	their	high
      1 and	the	promotion
      1 and	the	new
      1 and	the	Nation
      1 and	the	miserable
      1 and	the	law
      1 and	the	consequent
      1 and	the	children
      1 and	the	bow
      1 and	the	authoritarian
      1 and	that	marriage
      1 and	that	he
      1 and	tax	breaks
      1 and	sustain	the
      1 and	Sullivan	in
      1 and	subjects	in
      1 and	still	resurface
      1 and	statesmen	like
      1 and	speeches	with
      1 and	socialize	their
      1 and	shape	the
      1 and	self	government
      1 and	responsible	for
      1 and	responsibilities	of
      1 and	resourceful	future
      1 and	rampant	fatherlessness
      1 and	raising	children
      1 and	policy	had
      1 and	others	let
      1 and	ordered	his
      1 and	one	that
      1 and	nothing	to
      1 and	not	only
      1 and	next	as
      1 and	mutual	affection
      1 and	move	into
      1 and	more	than
      1 and	moral	culture
      1 and	merging	family
      1 and	marriage	was
      1 and	marriage	than
      1 and	marriage	demonstrating
      1 and	marriage	both
      1 and	love	could
      1 and	looking	longingly
      1 and	lived	reality
      1 and	law	The
      1 and	later	a
      1 and	knowing	from
      1 and	judging	their
      1 And	it	would
      1 and	is	deeply
      1 and	irrational	as
      1 And	instead	of
      1 and	inheritance	rights
      1 and	inequality	Too
      1 and	industrious	unit
      1 and	indomitable	self
      1 and	illegitimacy	fracture
      1 and	illegitimacy	as
      1 and	I	don
      1 and	how	haphazardly
      1 and	had	little
      1 and	grandparents	are
      1 and	Good	Man
      1 and	gay	marriage
      1 and	frigid	observances
      1 and	equality	the
      1 and	equality	that
      1 and	end	with
      1 and	eloquent	advocates
      1 and	elastic	institution
      1 and	development	by
      1 and	determine	their
      1 and	dependably	self
      1 and	democratic	equality
      1 and	demanding	vision
      1 and	death	interest
      1 and	culture	Untoxic
      1 and	culture	Advocates
      1 and	culturally	because
      1 and	create	stable
      1 and	coercion	was
      1 and	child	expert
      1 and	child	centered
      1 and	Charlotte	Brontë
      1 and	because	these
      1 and	beatings	commonplace
      1 and	author	Captain
      1 and	aspires	to
      1 and	arrow	lessons
      1 and	apple	pie
      1 and	an	arrangement
      1 and	Americans	began
      1 and	activity	of
      1 and	acres	By
      1 and	Abortion	in
      1 and	abortion	are
      1 and	a	shift
      1 analogy	to	assert
      1 analogy	between	black
      1 an	up	to
      1 an	unusually	and
      1 an	unbroken	history
      1 an	old	world
      1 an	intimate	relationship
      1 an	interest	in
      1 an	institution	comes
      1 an	injustice	written
      1 an	essential	part
      1 an	enfeebled	institution
      1 an	end	in
      1 an	eminently	malleable
      1 an	element	of
      1 An	earlier	chapter
      1 an	average	of
      1 an	assertion	that
      1 an	arrangement	for
      1 an	amicus	brief
      1 an	advantage	but
      1 amount	of	freedom
      1 among	the	startling
      1 among	ex	slaves
      1 amicus	brief	in
      1 Americans	wondered	then
      1 Americans	to	take
      1 Americans	in	the
      1 Americans	crowded	into
      1 Americans	closed	the
      1 Americans	began	pulling
      1 American	theorists	also
      1 American	style	marriage
      1 American	Revolution	and
      1 American	principles	of
      1 American	principles	even
      1 American	past	in
      1 American	parents	that
      1 American	nation	the
      1 American	marriage	would
      1 American	Marriage	The
      1 American	Marriage	Share
      1 American	marriage	illustrates
      1 American	life	ford
      1 American	Law	Institute
      1 American	law	and
      1 American	ideal	of
      1 American	idea	of
      1 American	history	republican
      1 American	history	at
      1 American	government	is
      1 American	form	of
      1 American	family	which
      1 American	family	as
      1 American	family	an
      1 American	families	helped
      1 American	families	began
      1 American	Demographics	has
      1 American	citizens	were
      1 American	citizens	should
      1 American	children	should
      1 America	the	number
      1 America	that	state
      1 America	that	includes
      1 America	that	follows
      1 America	s	founding
      1 America	s	dedication
      1 America	Here	s
      1 Amendment	s	equal
      1 Amendment	protects	the
      1 always	involved	at
      1 always	had	a
      1 always	governed	property
      1 always	been	the
      1 always	accepted	the
      1 also	the	qualities
      1 also	the	merely
      1 also	presents	a
      1 also	meant	citizenly
      1 also	likely	that
      1 also	has	a
      1 also	had	to
      1 also	encouraged	parents
      1 also	choose	their
      1 also	a	matter
      1 already	made	the
      1 Alongside	the	familiar
      1 along	with	the
      1 along	with	Rauch
      1 almost	three	quarters
      1 almost	as	many
      1 allowed	to	run
      1 allow	only	monogamous
      1 allow	individuals	the
      1 allow	divorce	some
      1 allow	divorce	if
      1 allow	divorce	but
      1 all	While	gays
      1 all	Western	societies
      1 All	these	qualities
      1 all	their	wisdom
      1 All	the	faculties
      1 all	the	diversity
      1 all	that	s
      1 all	that	American
      1 all	sorts	including
      1 All	rights	reserved
      1 All	Publications	Subscribe
      1 All	Publications	About
      1 all	its	guises
      1 all	it	s
      1 Alexis	de	Tocqueville
      1 Alerts	Summer	2004
      1 alarmed	by	the
      1 aim	wasn	t
      1 agrees	the	argument
      1 agreement	or	take
      1 agree	Knowing	firsthand
      1 agrarian	economy	in
      1 ago	Andrew	Sullivan
      1 aghast	The	Founders
      1 age	group	least
      1 against	the	institution
      1 against	slaves	entering
      1 against	domination	and
      1 again	A	sturdy
      1 After	the	Civil
      1 After	in	America
      1 after	case	judges
      1 after	all	that
      1 African	Americans	in
      1 African	American	marriage
      1 affectionate	ties	between
      1 affection	and	who
      1 affairs	published	by
      1 advocates	writing	today
      1 advocates	use	the
      1 advocates	posit	makes
      1 Advocates	for	gay
      1 advocates	conclude	that
      1 advocates	civil	rights
      1 advocates	certainly	invoke
      1 advocates	case	Strange
      1 Advertise	Privacy	Policy
      1 advantage	but	it
      1 adults	who	had
      1 adults	in	their
      1 adults	having	little
      1 adults	do	markedly
      1 adults	and	had
      1 adult	passion	The
      1 adoption	legal	in
      1 admittedly	there	was
      1 addition	to	these
      1 addition	they	understood
      1 addition	the	Founders
      1 add	together	young
      1 Adams	wrote	in
      1 Adams	was	voicing
      1 Adams	but	they
      1 Adam	White	52
      1 actually	at	war
      1 activity	of	mind
      1 active	observant	thinkers
      1 across	the	country
      1 acres	By	the
      1 accustoms	us	to
      1 According	to	Nancy
      1 According	to	Janet
      1 accommodate	homosexuals	When
      1 accepted	the	traditional
